rowId,parentRowRef,parentTeamName,parentTeamId,name,visibility,callsignPrefix,color,canJoin
lg56,locgroups,,,Waitomo Search and Rescue,public,WTOM,,true
lg57,locgroups,,,Wakatipu LandSAR,public,WAKA,,true
lg58,locgroups,,,Wanganui Search and Rescue Inc.,public,WANG,,true
lg59,locgroups,,,Wellington Land Search and Rescue,public,WELL,,true
lg60,locgroups,,,Westport Land Search and Rescue Inc,public,WPOR,,true
lg61,locgroups,,,Whakatane Land Search and Rescue,public,WHAK,,true
spec-dogs,spec,,,Search Dogs,public,DOGS,,true
spec-tsw,spec,,,Tasman Swift Water,public,TSW,,true
spec-cave,spec,,,Cave Search and Rescue,public,CAVE,,false
spec-ysar,spec,,,Youth Search and Rescue - Tauranga,public,YSAR,,true
spec-acr,spec,,,Alpine Cliff Rescue,public,ACR,,false
cave1,spec-cave,,,Auckland (Cave),public,AUCK,,true
cave2,spec-cave,,,Hamilton/Waitomo (Cave),public,HAMI,,true
cave3,spec-cave,,,Manawatu (Cave),public,MANA,,true
cave4,spec-cave,,,Wellington (Cave),public,WELL,,true
cave5,spec-cave,,,Canterbury (Cave),public,CANT,,true
cave6,spec-cave,,,Coast Cave,public,COAS,,true
cave7,spec-cave,,,Nelson (Cave),public,NELS,,true
acr1,spec-acr,,,Christchurch (ACR),public,CHRI,,true
acr2,spec-acr,,,Ruapehu (RARO),public,RUAP,,true
acr3,spec-acr,,,Tasman (ACR),public,TASM,,true
acr4,spec-acr,,,Wakatipu Aoraki/Mt Cook (ACR),public,AORA,,true
acr5,spec-acr,,,Taranaki (ACR),public,TARA,,true
acr6,spec-acr,,,Wanaka (ACR),public,WANA,,true
